,Hand_Signal,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
16,40,-52,149,2,139,60,98,83,54,70,15,39,10,51,-16,45,34,38,70,0,0,10,-17,8,49,5,83,-41,0,-33,-19,-29,44,-29,76,-83,8,-74,-11,-64,33,-61,58
17,40,-54,147,1,135,59,95,85,51,69,13,37,9,50,-19,43,32,36,67,0,0,11,-19,7,47,4,77,-41,-1,-32,-23,-30,41,-32,70,-83,7,-74,-13,-65,30,-62,54
18,40,-48,147,8,134,62,94,88,52,75,13,39,9,53,-19,46,32,39,68,0,0,13,-19,10,47,7,80,-40,0,-30,-21,-26,41,-27,71,-82,9,-72,-14,-61,29,-58,54
19,40,-51,140,6,129,64,89,89,45,74,7,38,8,54,-25,48,25,41,61,0,0,14,-25,12,39,8,72,-40,-1,-30,-28,-24,33,-26,65,-82,6,-72,-19,-60,24,-56,51
20,40,-44,141,13,125,68,87,93,45,83,3,37,8,54,-22,52,24,46,60,0,0,20,-22,19,39,14,74,-41,0,-25,-26,-18,33,-19,67,-86,8,-67,-19,-53,21,-49,50
21,40,-46,137,11,124,68,86,92,44,81,2,36,8,56,-23,54,20,47,55,0,0,20,-23,20,37,14,73,-41,0,-23,-27,-16,32,-19,66,-85,7,-64,-19,-51,22,-48,51
22,40,-44,139,12,127,69,89,94,46,84,3,37,7,60,-22,59,23,51,58,0,0,24,-21,24,40,17,76,-40,0,-20,-24,-11,35,-14,68,-84,10,-63,-14,-46,27,-42,55
23,40,-40,143,16,129,72,90,97,47,85,5,36,7,59,-20,60,27,53,62,0,0,24,-19,26,44,20,79,-40,2,-18,-19,-9,40,-12,73,-83,13,-61,-11,-43,30,-39,59
24,40,-37,143,20,128,75,88,100,45,88,3,36,6,60,-21,63,26,57,61,0,0,26,-19,30,43,23,78,-40,3,-16,-20,-6,40,-10,72,-84,14,-58,-9,-39,32,-35,61
25,40,-34,148,21,130,76,89,100,47,88,5,36,6,61,-17,64,31,58,66,0,0,27,-15,32,47,26,82,-40,4,-15,-15,-3,44,-6,76,-83,18,-58,-5,-37,36,-31,65
26,40,-31,155,24,138,79,95,103,53,91,11,37,7,64,-12,68,37,63,74,0,0,30,-8,37,55,31,89,-39,5,-11,-7,2,52,0,85,-81,20,-52,4,-31,46,-25,74
27,40,-28,158,27,137,80,94,102,52,91,11,37,6,64,-11,68,39,62,77,0,0,32,-7,39,55,34,90,-39,5,-9,-5,5,53,4,86,-80,21,-50,6,-28,47,-21,76
28,40,-27,163,27,143,81,99,105,55,92,13,37,7,65,-8,70,44,65,80,0,0,35,-3,41,60,35,93,-39,5,-7,1,6,60,4,90,-80,22,-48,12,-25,54,-19,80
29,40,-23,165,30,142,84,99,109,55,95,15,36,7,67,-9,73,43,69,81,0,0,38,-2,45,61,39,95,-38,6,-3,1,10,60,8,92,-79,24,-45,13,-22,55,-15,83
30,40,-21,169,33,145,87,99,112,55,99,15,37,7,69,-8,76,44,72,82,0,0,40,-1,47,61,40,95,-38,6,-1,3,13,62,9,93,-78,25,-41,16,-19,58,-13,84
31,40,-4,174,48,146,97,97,121,54,110,15,37,4,77,-8,88,45,84,81,0,0,51,2,64,65,59,98,-35,11,15,12,32,69,28,99,-70,35,-23,30,0,69,4,93
32,40,0,177,52,147,100,96,125,51,115,12,36,3,78,-10,92,42,89,79,0,0,54,1,70,62,65,95,-34,12,20,12,39,68,36,98,-65,37,-16,33,9,70,13,94
33,40,4,179,54,147,100,95,123,50,112,12,36,2,77,-11,91,41,88,78,0,0,54,1,71,62,64,96,-34,13,20,13,39,68,35,97,-65,38,-16,33,9,69,12,92
34,40,1,177,51,147,98,95,122,51,114,12,35,3,76,-13,93,37,92,73,0,0,53,0,71,60,66,93,-34,13,20,13,40,68,36,97,-66,38,-17,33,10,69,14,91
35,40,0,177,52,147,99,95,122,50,113,11,35,2,75,-11,91,40,88,75,0,0,52,1,70,62,65,94,-33,13,19,12,39,68,35,97,-64,38,-15,35,10,71,13,92
36,40,2,177,52,146,99,93,122,49,114,10,34,2,76,-11,93,39,91,75,0,0,54,1,72,60,68,93,-32,12,22,13,42,67,39,96,-62,37,-12,34,13,69,18,91
37,40,1,175,51,146,96,94,120,50,113,10,33,2,74,-14,91,36,90,72,0,0,54,0,72,59,67,93,-32,12,23,11,43,66,38,96,-62,36,-13,32,13,67,17,90
38,40,0,177,50,146,97,95,120,51,112,12,34,2,75,-10,90,41,86,75,0,0,54,1,71,61,66,94,-33,12,22,12,41,68,36,98,-63,37,-13,33,12,69,16,92
39,40,0,175,49,146,95,94,119,49,113,10,33,2,75,-12,91,38,88,72,0,0,55,-2,74,57,69,90,-31,12,24,11,44,65,40,95,-61,36,-10,31,15,66,18,88
40,40,-1,173,48,143,93,92,118,49,111,9,32,1,73,-13,90,36,88,71,0,0,54,-3,73,56,69,89,-32,12,23,9,44,63,41,93,-61,37,-11,29,15,63,19,86
41,40,-2,173,48,142,92,94,114,54,114,14,33,2,76,-11,92,37,89,74,0,0,57,1,73,57,67,93,-32,11,26,10,43,63,39,96,-62,35,-11,28,13,62,16,88
42,40,-7,172,42,143,87,95,111,54,110,15,33,2,76,-9,89,39,86,73,0,0,55,-1,70,57,64,92,-33,10,23,11,40,63,35,94,-63,33,-12,26,11,60,12,85
43,40,-12,169,36,141,82,95,109,55,108,15,32,4,73,-10,85,38,81,74,0,0,54,-2,66,56,59,91,-33,8,22,7,36,60,30,92,-64,27,-14,19,7,55,8,81
44,40,-18,164,30,139,79,92,105,51,104,12,32,5,70,-11,82,37,78,72,0,0,49,-4,60,54,52,88,-33,7,16,1,30,55,23,87,-67,25,-20,13,1,50,2,77
45,40,-25,162,27,136,75,92,102,52,102,10,31,6,69,-11,77,36,70,71,0,0,47,-5,55,52,46,87,-34,6,14,-1,26,52,20,86,-68,22,-24,9,-3,45,0,74
46,40,-41,148,15,126,68,89,94,50,92,7,32,8,63,-10,65,38,55,74,0,0,40,-10,41,46,30,81,-34,0,6,-13,12,39,5,73,-72,10,-33,-6,-15,30,-13,59
47,40,-50,136,5,119,58,85,87,47,90,4,28,8,59,-12,58,34,45,70,0,0,35,-16,34,39,22,74,-35,-2,0,-21,5,32,-4,66,-76,4,-38,-13,-23,24,-24,52
48,40,-48,135,6,121,60,88,88,49,87,6,29,9,60,-12,61,34,50,67,0,0,35,-13,34,42,21,75,-34,-2,1,-19,6,34,-3,68,-75,3,-37,-13,-21,24,-22,55
49,40,-53,135,2,123,57,90,86,53,85,11,29,9,59,-10,58,36,46,70,0,0,34,-12,31,43,18,77,-35,-2,-2,-18,3,34,-6,69,-76,3,-39,-12,-24,25,-25,55
50,40,-55,133,0,122,56,89,84,52,85,9,29,9,58,-11,57,36,45,70,0,0,33,-13,30,42,17,76,-35,-3,-1,-19,2,34,-8,69,-75,1,-39,-15,-25,22,-26,52
51,40,-56,130,0,119,55,89,85,52,87,9,29,10,60,-12,58,33,46,67,0,0,35,-15,31,40,18,74,-34,-4,0,-20,2,34,-8,68,-74,0,-38,-17,-25,22,-26,51
52,40,-58,127,-3,118,52,89,83,54,84,11,29,10,60,-13,57,33,44,67,0,0,35,-16,30,39,15,72,-34,-5,-1,-22,0,32,-11,65,-75,-2,-37,-19,-26,20,-30,49
53,40,-60,122,-5,114,51,88,81,52,83,10,29,10,60,-15,56,28,42,62,0,0,32,-18,27,35,13,69,-34,-6,-3,-26,-2,27,-13,61,-75,-6,-38,-22,-29,17,-34,46
54,40,-67,114,-10,108,46,85,76,52,77,11,30,12,59,-15,52,25,37,56,0,0,30,-21,21,30,6,62,-34,-6,-6,-31,-8,19,-18,52,-74,-8,-42,-29,-34,7,-37,35
55,40,-67,110,-10,106,43,84,73,52,77,11,29,12,56,-15,48,25,33,56,0,0,26,-23,18,28,4,60,-34,-7,-8,-34,-10,17,-21,49,-74,-9,-45,-31,-38,5,-43,32
56,40,-71,106,-15,104,40,83,69,52,74,14,29,13,54,-14,45,26,29,55,0,0,24,-23,14,26,0,57,-34,-8,-10,-34,-13,15,-24,46,-73,-11,-47,-32,-41,3,-46,28
57,40,-73,103,-19,104,37,86,68,55,72,17,29,14,54,-11,43,28,27,57,0,0,25,-22,13,26,-1,57,-33,-9,-9,-32,-15,16,-26,46,-72,-12,-45,-31,-42,4,-48,28
58,40,-72,100,-18,102,37,85,65,54,71,17,29,14,53,-12,42,27,26,56,0,0,24,-22,13,27,-1,57,-32,-9,-9,-32,-15,16,-27,44,-70,-13,-43,-32,-41,2,-48,26
59,40,-75,95,-22,99,34,84,63,53,68,16,29,14,53,-11,41,25,25,53,0,0,24,-24,11,23,-3,53,-32,-10,-9,-34,-17,14,-29,42,-70,-14,-45,-35,-43,1,-49,25
60,40,-74,92,-22,97,32,81,61,52,69,15,28,14,53,-14,40,23,23,50,0,0,24,-25,10,22,-4,50,-32,-10,-9,-36,-18,11,-29,39,-69,-16,-45,-38,-43,-4,-48,19
61,40,-75,87,-25,94,27,81,55,52,64,17,27,14,52,-13,35,22,19,48,0,0,23,-26,7,19,-7,45,-30,-11,-9,-37,-20,9,-31,35,-65,-16,-44,-38,-44,-6,-49,16
62,40,-76,86,-28,95,24,81,53,52,61,17,26,16,51,-11,33,23,16,48,0,0,22,-25,4,20,-9,46,-31,-10,-11,-36,-22,9,-33,35,-66,-17,-44,-38,-45,-5,-51,17
63,40,-79,85,-31,94,20,82,51,54,60,19,26,16,51,-8,32,25,14,49,0,0,22,-23,3,20,-11,47,-31,-11,-10,-35,-23,9,-34,34,-65,-18,-43,-39,-45,-5,-52,17
64,40,-79,82,-31,92,20,81,49,54,60,20,26,17,51,-7,32,25,14,48,0,0,24,-23,4,19,-11,45,-29,-12,-9,-36,-22,7,-34,33,-63,-20,-41,-40,-44,-7,-51,15
65,40,-79,78,-31,88,19,78,47,50,60,18,26,17,51,-8,31,22,12,45,0,0,24,-24,3,17,-12,43,-28,-12,-8,-36,-22,6,-33,31,-61,-21,-40,-42,-43,-10,-49,12
66,40,-78,75,-32,86,15,77,44,52,58,22,25,16,49,-9,29,21,10,44,0,0,21,-22,1,18,-14,43,-28,-12,-9,-35,-23,5,-34,29,-59,-21,-40,-41,-43,-11,-49,10
67,40,-77,74,-33,85,14,76,43,50,57,20,25,16,49,-9,28,20,10,43,0,0,21,-22,0,17,-15,42,-28,-12,-9,-36,-23,4,-34,28,-58,-20,-40,-42,-44,-12,-49,10
68,40,-77,72,-34,84,14,76,42,50,55,20,25,16,47,-7,26,22,9,45,0,0,20,-22,-1,17,-15,42,-27,-12,-10,-35,-25,4,-35,28,-58,-21,-41,-41,-46,-11,-51,10
69,40,-75,71,-34,83,14,75,42,49,54,19,25,16,47,-8,27,19,10,42,0,0,19,-22,-1,15,-14,40,-27,-13,-10,-35,-25,3,-35,26,-57,-22,-39,-42,-45,-12,-51,7
70,40,-76,72,-35,85,13,75,41,50,54,20,25,17,47,-7,27,21,10,44,0,0,19,-20,-2,18,-15,42,-27,-12,-10,-34,-24,5,-34,28,-57,-21,-40,-40,-44,-12,-50,8
71,40,-74,72,-33,85,12,76,39,52,55,24,25,17,45,-5,26,22,9,44,0,0,19,-20,-1,17,-15,41,-27,-12,-10,-32,-24,5,-35,28,-57,-21,-40,-38,-45,-9,-50,11
72,40,-74,72,-34,86,13,77,40,53,56,25,23,16,44,-5,28,21,11,43,0,0,18,-19,-1,18,-15,42,-27,-12,-10,-31,-24,6,-35,28,-57,-21,-41,-37,-46,-10,-51,9
73,40,-75,72,-36,86,10,78,37,54,54,26,24,16,43,-5,26,22,10,44,0,0,17,-18,-3,20,-16,43,-27,-13,-11,-29,-25,7,-35,29,-57,-21,-42,-38,-46,-10,-50,8
74,40,-77,73,-39,87,9,82,38,59,54,30,23,17,44,-3,26,24,11,44,0,0,17,-16,-3,22,-17,45,-28,-13,-12,-29,-26,10,-36,33,-59,-23,-44,-37,-47,-8,-51,11
75,40,-77,71,-37,85,9,79,36,58,54,31,24,17,44,-3,27,24,10,46,0,0,17,-17,-4,23,-19,48,-28,-13,-11,-31,-26,8,-37,33,-59,-22,-42,-38,-47,-9,-52,12
76,40,-79,73,-39,87,6,80,34,60,52,32,24,18,43,-2,25,24,9,46,0,0,16,-14,-6,25,-20,49,-28,-13,-12,-30,-27,10,-38,34,-59,-21,-43,-38,-47,-8,-52,13
77,40,-78,74,-38,87,7,81,35,60,53,34,24,17,44,-1,25,26,9,49,0,0,16,-14,-6,25,-20,50,-28,-12,-12,-29,-27,11,-38,35,-59,-20,-43,-36,-47,-7,-52,14
78,40,-77,72,-37,87,8,80,35,58,52,32,25,17,44,-2,26,25,9,48,0,0,17,-15,-5,24,-20,49,-28,-13,-12,-29,-26,10,-37,34,-60,-21,-43,-37,-46,-8,-50,13
79,40,-76,73,-37,86,8,79,36,59,54,32,24,16,45,-5,28,23,11,45,0,0,17,-16,-4,23,-19,48,-27,-12,-11,-30,-25,9,-36,33,-58,-20,-42,-38,-46,-8,-51,13
80,40,-76,76,-36,88,8,80,35,59,53,33,24,16,44,-2,27,25,10,47,0,0,16,-14,-4,25,-18,50,-27,-12,-12,-28,-25,10,-35,35,-58,-19,-43,-35,-46,-7,-50,14
81,40,-77,73,-38,86,6,79,33,59,51,33,25,16,43,-3,25,24,9,47,0,0,15,-16,-6,23,-19,48,-27,-13,-13,-29,-27,10,-37,34,-59,-21,-43,-36,-48,-6,-53,15
82,40,-75,74,-36,86,9,79,36,57,53,32,24,16,44,-4,26,24,10,47,0,0,16,-15,-5,24,-18,49,-28,-12,-12,-29,-26,10,-36,35,-59,-20,-42,-36,-46,-7,-51,14
83,40,-77,73,-39,84,5,80,32,59,48,32,23,17,40,-3,21,21,6,42,0,0,14,-16,-7,22,-19,45,-26,-13,-14,-29,-28,9,-36,33,-56,-21,-44,-36,-48,-8,-50,13
84,40,-74,71,-37,83,6,76,33,56,50,32,24,16,45,-5,26,20,10,41,0,0,16,-17,-5,20,-17,43,-26,-12,-12,-30,-26,8,-35,31,-56,-20,-41,-38,-45,-10,-49,10
85,40,-75,72,-38,84,5,75,32,55,49,31,23,16,45,-5,25,21,7,43,0,0,16,-17,-6,21,-19,45,-27,-12,-13,-29,-26,8,-35,32,-57,-20,-42,-38,-45,-10,-49,11
86,40,-77,71,-38,84,5,75,32,54,49,30,24,17,46,-4,24,21,7,42,0,0,16,-17,-6,20,-19,45,-27,-13,-13,-30,-27,8,-35,32,-56,-21,-41,-38,-45,-10,-48,11
87,40,-79,68,-42,82,1,75,29,54,44,28,23,17,44,-5,21,20,4,40,0,0,14,-19,-10,18,-21,41,-26,-14,-15,-32,-31,6,-38,29,-54,-24,-43,-40,-49,-11,-52,8
88,40,-76,73,-38,84,3,75,29,55,43,31,24,17,43,-5,19,21,1,42,0,0,11,-17,-12,21,-22,44,-26,-12,-18,-31,-32,7,-37,30,-55,-20,-45,-38,-50,-9,-52,12
89,40,-77,69,-40,83,1,76,27,55,43,30,24,17,42,-6,20,21,4,41,0,0,11,-20,-11,19,-20,41,-26,-14,-18,-33,-33,6,-37,28,-54,-23,-46,-40,-51,-11,-52,9
90,40,-77,73,-41,85,-1,77,26,58,41,35,23,18,41,-2,19,24,2,44,0,0,10,-16,-13,23,-23,45,-26,-13,-20,-30,-34,8,-39,31,-54,-21,-47,-36,-52,-7,-53,13
91,40,-76,73,-40,84,0,76,25,57,42,34,23,17,38,-1,18,24,2,44,0,0,9,-15,-13,23,-24,46,-26,-13,-19,-28,-33,9,-40,32,-54,-22,-47,-36,-52,-8,-54,11
92,40,-81,82,-42,94,1,87,27,67,49,52,24,21,37,10,19,37,4,56,0,0,7,-3,-13,35,-24,57,-28,-14,-23,-18,-36,20,-42,43,-58,-21,-53,-27,-57,3,-58,21
93,40,-78,83,-41,97,2,91,27,72,45,51,24,20,38,13,19,41,4,61,0,0,8,1,-12,40,-23,63,-28,-13,-22,-13,-35,26,-42,49,-58,-19,-52,-20,-56,9,-56,28
94,40,-76,82,-39,96,4,90,28,72,45,50,23,20,39,11,20,40,5,61,0,0,9,0,-11,39,-22,61,-28,-13,-20,-14,-33,24,-41,48,-58,-18,-51,-21,-54,8,-55,28
95,40,-73,82,-37,95,4,87,28,67,45,45,23,19,39,8,22,35,7,56,0,0,10,-2,-8,37,-19,59,-28,-12,-19,-16,-31,24,-39,46,-59,-17,-50,-24,-52,5,-53,25
96,40,-74,87,-37,99,5,93,29,74,42,49,23,19,37,12,21,42,7,64,0,0,9,2,-8,43,-18,66,-29,-12,-22,-11,-32,29,-39,52,-60,-16,-53,-19,-54,10,-53,30
97,40,-69,85,-32,96,10,88,34,69,48,44,23,17,39,7,24,36,12,58,0,0,11,-2,-6,39,-15,62,-28,-12,-19,-16,-29,24,-36,48,-59,-16,-50,-23,-51,6,-52,26
98,40,-65,85,-28,96,15,86,41,64,59,41,24,17,42,4,30,33,17,56,0,0,13,-4,-2,37,-12,58,-29,-10,-16,-16,-27,26,-36,49,-61,-15,-49,-23,-50,8,-52,28
99,40,-64,92,-26,101,17,90,45,72,57,46,24,17,44,10,31,40,18,64,0,0,16,3,0,45,-11,68,-29,-9,-14,-8,-24,33,-32,56,-61,-12,-47,-14,-46,16,-48,35
100,40,-66,94,-26,102,17,91,43,71,56,44,24,17,45,8,32,39,19,62,0,0,17,1,3,43,-7,66,-29,-10,-13,-9,-21,32,-29,55,-61,-13,-44,-14,-43,17,-45,37
101,40,-62,92,-22,98,22,87,49,67,61,40,23,15,46,5,35,36,22,59,0,0,19,0,6,41,-4,65,-28,-9,-10,-9,-18,32,-28,55,-60,-12,-41,-15,-39,15,-40,35
102,40,-60,93,-19,97,24,85,50,65,61,37,24,15,46,6,35,37,22,61,0,0,19,1,8,42,-2,65,-29,-9,-10,-7,-17,33,-26,55,-61,-11,-42,-14,-39,17,-40,36
103,40,-60,93,-19,97,25,84,53,66,62,39,23,15,46,5,38,37,26,59,0,0,20,1,10,42,-1,64,-29,-8,-8,-7,-15,32,-25,53,-60,-10,-40,-11,-35,20,-35,39
104,40,-58,93,-15,95,28,83,54,64,63,37,23,15,46,3,39,34,28,58,0,0,20,-1,11,40,0,64,-29,-7,-8,-9,-15,30,-24,53,-61,-9,-40,-13,-35,18,-36,38
105,40,-59,95,-16,98,27,86,53,67,62,39,24,15,46,6,37,37,25,61,0,0,20,2,10,42,-1,66,-29,-8,-9,-6,-15,32,-24,55,-61,-9,-41,-10,-36,21,-36,41
106,40,-58,97,-16,100,26,86,52,67,62,40,24,16,46,7,41,38,30,62,0,0,21,5,10,46,0,70,-28,-7,-7,-4,-14,36,-23,59,-59,-8,-40,-8,-34,22,-34,43
107,40,-58,93,-16,98,28,87,53,67,62,39,24,15,46,7,37,39,25,62,0,0,20,3,10,44,-1,68,-28,-7,-8,-6,-15,34,-24,57,-59,-8,-39,-9,-34,21,-35,42
108,40,-61,94,-20,99,24,88,51,69,59,40,23,15,46,8,38,40,25,63,0,0,20,6,10,46,-1,69,-27,-8,-7,-3,-13,36,-22,58,-57,-9,-38,-8,-33,22,-34,42
109,40,-60,92,-19,97,22,86,49,68,59,39,23,15,46,7,37,37,23,60,0,0,21,3,10,43,-1,66,-27,-8,-7,-6,-14,32,-23,54,-58,-10,-38,-12,-34,18,-35,38
110,40,-61,85,-19,91,21,80,46,63,57,37,23,15,45,3,33,32,20,55,0,0,18,-2,6,37,-4,60,-27,-8,-10,-10,-17,27,-25,50,-56,-11,-39,-16,-37,12,-39,32
111,40,-61,83,-23,89,17,79,43,63,54,38,22,15,45,3,33,32,19,54,0,0,18,-1,5,37,-6,60,-27,-8,-9,-12,-16,24,-25,47,-57,-11,-41,-18,-38,9,-39,29
112,40,-61,80,-24,88,15,79,41,63,51,37,22,16,43,3,32,31,18,53,0,0,17,-2,4,35,-7,58,-27,-10,-9,-12,-18,23,-26,45,-56,-13,-41,-19,-39,8,-40,27
113,40,-61,81,-24,89,15,80,40,63,49,38,22,16,43,5,30,32,16,54,0,0,16,-1,2,36,-8,59,-26,-9,-10,-12,-18,24,-26,47,-55,-12,-40,-17,-38,10,-40,29
114,40,-63,76,-25,85,14,77,40,60,48,35,21,16,42,3,28,29,14,50,0,0,16,-4,1,31,-10,54,-26,-10,-11,-15,-20,20,-28,42,-55,-14,-41,-21,-40,6,-42,25
115,40,-61,78,-25,86,14,78,37,62,44,37,22,16,41,4,26,31,12,52,0,0,15,-2,-1,34,-11,57,-26,-9,-12,-13,-22,22,-29,45,-55,-13,-42,-18,-41,8,-42,27
116,40,-63,78,-27,87,12,79,37,61,43,35,21,17,40,6,23,34,9,54,0,0,13,-1,-3,35,-12,57,-25,-10,-13,-12,-23,24,-30,46,-53,-15,-42,-17,-43,9,-44,28
117,40,-64,77,-28,87,11,81,35,63,40,37,21,17,39,7,21,34,7,54,0,0,12,-1,-6,36,-15,58,-26,-11,-15,-12,-26,24,-33,46,-53,-16,-42,-18,-44,9,-45,28
118,40,-64,75,-29,85,9,78,33,61,40,36,22,16,39,4,23,30,8,51,0,0,12,-4,-4,32,-14,54,-26,-10,-16,-14,-26,21,-33,42,-54,-14,-44,-22,-44,3,-44,21
119,40,-61,73,-26,82,12,75,35,57,43,34,21,15,39,0,24,26,10,47,0,0,11,-6,-4,29,-14,50,-25,-10,-14,-18,-24,16,-30,37,-52,-16,-41,-24,-41,1,-42,18
120,40,-60,74,-24,82,14,76,38,60,46,36,22,16,40,3,25,27,11,46,0,0,13,-5,-3,28,-12,50,-24,-10,-12,-14,-22,18,-29,39,-51,-15,-39,-23,-39,0,-40,19
121,40,-60,70,-26,81,13,73,37,56,47,34,21,15,39,-1,25,23,11,42,0,0,13,-9,-3,25,-13,44,-25,-11,-13,-17,-24,15,-31,34,-52,-17,-39,-26,-41,-1,-43,16
122,40,-59,70,-24,78,17,72,40,55,45,31,22,14,39,-1,26,23,13,42,0,0,15,-10,-1,22,-12,44,-24,-10,-12,-19,-22,12,-30,33,-52,-16,-38,-26,-39,-2,-41,16
123,40,-59,68,-24,77,17,70,40,51,45,27,21,13,37,-2,23,22,10,41,0,0,13,-12,-1,20,-12,40,-23,-10,-12,-21,-21,10,-28,30,-49,-15,-37,-27,-38,-4,-41,14
124,40,-55,65,-20,72,22,63,43,42,41,20,20,11,35,-11,24,10,11,30,0,0,11,-16,-2,13,-11,33,-23,-8,-12,-22,-21,5,-28,24,-47,-13,-35,-25,-39,-4,-43,12
125,40,-50,67,-15,72,23,59,43,38,41,15,22,11,35,-9,23,13,10,33,0,0,9,-15,-3,14,-10,34,-23,-7,-16,-23,-22,5,-27,23,-48,-11,-39,-25,-41,-3,-44,13
126,40,-49,65,-15,71,23,58,44,37,40,15,21,11,34,-11,23,10,13,30,0,0,9,-17,-2,14,-9,33,-23,-7,-15,-23,-21,5,-25,24,-48,-11,-39,-24,-40,-3,-42,12
127,40,-48,66,-15,72,25,58,44,37,40,15,22,10,36,-13,25,9,14,28,0,0,9,-17,-1,14,-8,34,-24,-7,-15,-22,-21,7,-25,26,-49,-10,-39,-24,-40,-2,-42,14
128,40,-48,68,-14,73,27,59,47,34,40,10,22,10,35,-14,23,9,13,30,0,0,8,-19,-3,13,-9,33,-24,-6,-17,-23,-23,7,-26,26,-49,-9,-41,-24,-42,-1,-43,15
129,40,-47,71,-14,74,26,59,46,35,41,10,22,9,34,-13,23,10,14,30,0,0,9,-18,-2,14,-7,35,-24,-5,-17,-21,-22,10,-25,29,-49,-8,-41,-22,-40,1,-40,16
130,40,-46,71,-12,75,26,61,45,38,40,16,23,10,35,-13,23,12,14,31,0,0,8,-18,-3,16,-7,35,-24,-5,-17,-22,-22,10,-24,27,-49,-8,-41,-23,-41,1,-41,15
131,40,-43,70,-10,71,27,56,47,34,40,10,22,9,34,-16,23,7,13,29,0,0,7,-18,-3,14,-7,35,-24,-5,-18,-24,-23,6,-25,25,-48,-8,-41,-24,-41,-2,-42,14
132,40,-45,72,-11,74,27,58,47,34,40,11,23,10,33,-16,22,9,14,29,0,0,7,-19,-3,15,-7,35,-24,-5,-19,-23,-23,8,-24,27,-49,-7,-41,-23,-41,1,-41,17
